year_month,average,std
2006-02,57.974596,190.53950085123236
2006-05,64.173146,188.6115217330656
2006-08,84.630935,178.08442504055702
2006-11,86.763831,182.97287215651238
2007-02,94.058362,186.64063286936465
2007-05,104.253542,184.97248472260475
2007-08,96.521285,178.3898130245917
2008-01,108.275404,176.0315512646434
2008-04,108.139418,175.72124232039016
2008-08,125.954896,182.93450706094018
2009-01,137.945008,180.76218649894656
2009-04,142.742302,181.46487208201145
2009-08,149.801918,179.51665832875034
2010-01,32.080236,199.78307254666075
2010-04,37.527293,194.6824683454886
2010-08,46.648118,194.84564715450554
2010-12,53.252398,196.859138251821
2011-04,68.132048,182.81341524988173
2011-08,76.054593,186.1919756665264
2011-12,84.693403,186.24327231145722
2012-04,99.988792,190.9506317360085
2012-08,108.02154,190.09990252503658
2012-12,112.042317,189.58854691745364
2013-04,132.521979,189.97862871103044
2013-08,142.434448,190.17629581768406
2013-12,153.371769,191.74361035197666
2014-04,174.779201,187.49870440299472
2014-08,186.797579,189.82049792037412
2014-12,9.079418,195.16527666770352
2015-04,29.411005,197.64056136808045
2015-08,43.5462,201.43483395272034
2015-12,53.902095,200.7894938377279
2016-04,74.315331,205.43589862378101
2016-08,81.337129,208.40773477737665
2016-12,98.030341,211.27855662708345
2017-04,120.137081,206.65197545099693
2017-08,133.776755,210.50529145052374
2017-12,159.840968,218.48832843615
2018-04,165.349842,213.01573968271688
2018-08,186.885319,225.43930020133632
2018-12,203.958502,225.3560229989782
2019-04,217.449203,227.96290467456498
2019-08,232.664942,226.14003185667204
2019-12,250.213756,229.68488380468676
2020-04,36.931108,239.43821032552916
2020-08,51.71824,233.29549959933297
2020-12,67.14513,238.4551655034612
2021-04,91.328729,245.57841426364118
2021-08,130.637185,306.1845619594099
2021-12,144.61792,313.8841273987482
2022-04,170.722282,323.88013733279865
2022-08,198.053415,332.7844850437559
2022-12,218.543242,333.9914991195576
2023-04,249.42981,338.80938128594363
2023-08,273.408704,340.6332091605873
2023-12,296.231263,345.74939244259684
2024-04,322.6829,353.4989587814793
2024-08,360.731239,364.4961663811087
