COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01013,36042,0.02363320000,0.00286260000,0.00000000000,0.02054120000
01013,36033,0.18959400000,0.05534350000,0.43850900000,0.19411800000
01013,36030,0.02901230000,0.01431300000,0.00000000000,0.02607440000
01013,36032,0.02663140000,0.00667939000,0.33788800000,0.04403850000
01015,35096,0.00203946000,0.00053552300,0.00000000000,0.00187464000
01015,36204,0.00000000000,0.00017850800,0.00000000000,0.00001487810
01015,36206,0.09353340000,0.07586580000,0.07840120000,0.09176800000
01015,36250,0.03163650000,0.02766870000,0.02997690000,0.03127370000
01015,36254,0.00000000000,0.00017850800,0.00000000000,0.00001487810
01015,36260,0.02259990000,0.01088900000,0.00768640000,0.02133520000
01015,36279,0.02102470000,0.00481971000,0.00461184000,0.01935640000
01015,36277,0.04153540000,0.00517672000,0.02152190000,0.03811760000
01015,36272,0.07650470000,0.07497320000,0.05918520000,0.07604180000
01015,36271,0.04995850000,0.01374510000,0.00768640000,0.04612200000
01015,36265,0.17109900000,0.09068190000,0.21675600000,0.16528100000
01015,36257,0.00000000000,0.00017850800,0.00000000000,0.00001487810
01015,36253,0.00000000000,0.00035701500,0.00000000000,0.00002975610
01015,36207,0.16978900000,0.13227400000,0.20292100000,0.16730400000
01015,36205,0.01502240000,0.01106750000,0.04842430000,0.01533930000
01015,36203,0.11540400000,0.19689400000,0.19523400000,0.12374100000
01015,35905,0.00499088000,0.00303463000,0.00153728000,0.00476098000
01015,36201,0.18486200000,0.35148200000,0.12605700000,0.19761100000
01017,36274,0.01631530000,0.01526160000,0.00731707000,0.01606660000
01017,36855,0.04428440000,0.01308140000,0.03658540000,0.04205380000
01017,36863,0.37403300000,0.39026200000,0.38048800000,0.37524200000
01017,36879,0.01620930000,0.00290698000,0.01463410000,0.01529230000
01017,36862,0.16664900000,0.19113400000,0.32926800000,0.17150600000
01017,36854,0.34002500000,0.36119200000,0.21707300000,0.33899500000
01017,36801,0.00858142000,0.00436047000,0.00243902000,0.00817847000
01017,36850,0.00958788000,0.00654070000,0.00487805000,0.00929152000
01017,36852,0.01472610000,0.01162790000,0.00731707000,0.01437280000
01017,36276,0.00958788000,0.00363372000,0.00000000000,0.00900116000
01019,35901,0.00316529000,0.00240964000,0.00000000000,0.00308487000
01019,35984,0.01103990000,0.00000000000,0.00000000000,0.01025900000
01019,36275,0.00000000000,0.00120482000,0.00000000000,0.00007174120
01019,36272,0.11032200000,0.03132530000,0.03846150000,0.10481400000
01019,35983,0.14097100000,0.09518070000,0.08333330000,0.13760000000
01019,35959,0.19269700000,0.07710840000,0.24359000000,0.18638400000
01019,35961,0.02092180000,0.01325300000,0.00000000000,0.02023100000
01019,35967,0.01227510000,0.00481928000,0.00000000000,0.01169380000
01019,35973,0.10615300000,0.02530120000,0.02564100000,0.10043800000
01019,35960,0.40168300000,0.74819300000,0.60897400000,0.42463600000
01019,35903,0.00077202200,0.00120482000,0.00000000000,0.00078915300
01021,35040,0.02191830000,0.00574241000,0.02185790000,0.02100740000
01021,35085,0.19366100000,0.08859720000,0.07650270000,0.18675800000
01021,35171,0.06827270000,0.02214930000,0.04371580000,0.06546930000
01021,36051,0.00937947000,0.00328138000,0.00000000000,0.00895702000
01021,36750,0.06294120000,0.04593930000,0.06010930000,0.06196040000
01021,36790,0.00528212000,0.00082034500,0.01639340000,0.00512489000
01021,36793,0.00478847000,0.00164069000,0.00546448000,0.00461702000
01021,36792,0.01155160000,0.00328138000,0.00000000000,0.01098850000
01021,36758,0.01120600000,0.00410172000,0.00000000000,0.01071150000
01021,36091,0.08179890000,0.03363410000,0.06557380000,0.07895100000
01021,36006,0.01224270000,0.00410172000,0.03278690000,0.01195810000
01021,35115,0.04847710000,0.00574241000,0.03825140000,0.04598550000
01021,35045,0.33850000000,0.72272400000,0.61748600000,0.36248200000
01021,35046,0.12998000000,0.05824450000,0.02185790000,0.12502900000
01023,36904,0.32516100000,0.72704100000,0.11872100000,0.34090000000
01023,36922,0.04872820000,0.00255102000,0.80365300000,0.06935690000
01023,36921,0.08075390000,0.01275510000,0.00000000000,0.07454110000
01023,36912,0.14174100000,0.01275510000,0.00000000000,0.13030700000
01023,36913,0.00275820000,0.00510204000,0.00000000000,0.00280230000
01023,36915,0.05286550000,0.01020410000,0.00913242000,0.04918030000
01023,36919,0.13867600000,0.08163270000,0.00000000000,0.13128800000
01023,36916,0.04045360000,0.03316330000,0.00000000000,0.03881180000
