county_code,1,2,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,28,30,31,32,33,34,36,37,38,39,40,41,42,43,44,46,47,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65,66,67,72,76,77,78,79,80,81,82,83,87,88,89,90,91,92,92,93,94,95,96,97,98,99,100,102,103,104,105,106,107,108,109,110,111,112,114,115,118,119,120,121,123,124,125,129,135,144,153,163,164,165,166,167,169,170,171,172,181,182,183,184,187,193,194,195,197,198,200,201,202,209,210,211,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,251,302,303,304,305
1001,0,0.8360869,0.3530486,0.3530486,0.3530486,0.3530486,0.59462,0.59462,0.2765962,0.2392,0.2392,0.2392,0.14679,0.14679,0.14679,0.3763,0.3763,0.3763,0.3763,0.02716,0.02716,1.330549,1.330549,0.3530486,0.9634037,0.9634037,0.3530486,2.809177,2.809177,0.8051171,0.3858415,0.8051171,0.8051171,0,0,0.8051171,0,0,0,0,0.8051171,0,0,0,0,0,0,0,0.5171603,0.5171603,0.5171603,0,0,0,0,0,0,5.16388,0.02716,5.16388,0.02716,0.02716,0.02716,0.2200167,0.2200167,0.72427,0.72427,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0,0,0,0,0,0,0,1.17775,0.02716,0.02716,1.540337,1.540337,0.79957,0.4317678,0.4317678,0.4317678,0.4317678,1.34205,0.33601,0.26723,0.9634037,0.5184556,0,0,0,0,0,0,0,0,1.421,1.421,1.421,2.186792,0.26723,0,0.78753,0.3731145,0,0.3731145,0.3731145,1.63,1.63,11.22528,4.829361,6.762447,0.02716,0.40142,0.25632,0.25632,0.25632,0.00225,0.00225,2.07281,0.4659,0.11122,0.4659,1.24489,2.82684,2.82684,1.07671,1.26331,0.687265,1.57506,0.43366,0.43366,1.269355,0.9632417,1.164991,1.183364,0.797014
1003,0.452489366,0.8360869,0.3530486,0.3530486,0.3530486,0.3530486,0.59462,0.59462,0.2765962,0.2392,0.2392,0.2392,0.14679,0.14679,0.14679,0.3763,0.3763,0.3763,0.3763,0.02716,0.02716,1.330549,1.330549,0.3530486,0.9634037,0.9634037,0.3530486,2.809177,2.809177,0.8051171,0.3858415,0.8051171,0.8051171,1.916902284,1.916902284,0.8051171,1.916902284,1.916902284,1.916902284,1.916902284,0.8051171,0.609040136,0.609040136,0.609040136,0.609040136,0.609040136,0.609040136,0.609040136,0.5171603,0.5171603,0.5171603,1.381932858,1.381932858,1.381932858,1.381932858,1.381932858,1.381932858,5.16388,0.02716,5.16388,0.02716,0.02716,0.02716,0.2200167,0.2200167,0.72427,0.72427,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.452489366,0.452489366,0.452489366,0.452489366,0.452489366,0.452489366,0.452489366,1.17775,0.02716,0.02716,1.540337,1.540337,0.79957,0.4317678,0.4317678,0.4317678,0.4317678,1.34205,0.33601,0.26723,0.9634037,0.5184556,0.990506443,0.990506443,0.990506443,0.990506443,0.990506443,0.990506443,0.990506443,0.990506443,1.421,1.421,1.421,2.186792,0.26723,4.154449074,0.78753,0.3731145,4.154449074,0.3731145,0.3731145,1.63,1.63,11.22528,4.829361,6.762447,0.02716,0.40142,0.25632,0.25632,0.25632,0.00225,0.00225,2.07281,0.4659,0.11122,0.4659,1.24489,2.82684,2.82684,1.07671,1.26331,0.687265,1.57506,0.43366,0.43366,1.269355,0.9632417,1.164991,1.183364,0.797014
1005,0.293815183,0.8360869,0.3530486,0.3530486,0.3530486,0.3530486,0.59462,0.59462,0.2765962,0.2392,0.2392,0.2392,0.14679,0.14679,0.14679,0.3763,0.3763,0.3763,0.3763,0.02716,0.02716,1.330549,1.330549,0.3530486,0.9634037,0.9634037,0.3530486,2.809177,2.809177,0.8051171,0.3858415,0.8051171,0.8051171,0.966063089,0.966063089,0.8051171,0.966063089,0.966063089,0.966063089,0.966063089,0.8051171,0.329775401,0.329775401,0.329775401,0.329775401,0.329775401,0.329775401,0.329775401,0.5171603,0.5171603,0.5171603,1.535269442,1.535269442,1.535269442,1.535269442,1.535269442,1.535269442,5.16388,0.02716,5.16388,0.02716,0.02716,0.02716,0.2200167,0.2200167,0.72427,0.72427,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.293815183,0.293815183,0.293815183,0.293815183,0.293815183,0.293815183,0.293815183,1.17775,0.02716,0.02716,1.540337,1.540337,0.79957,0.4317678,0.4317678,0.4317678,0.4317678,1.34205,0.33601,0.26723,0.9634037,0.5184556,2.321533819,2.321533819,2.321533819,2.321533819,2.321533819,2.321533819,2.321533819,2.321533819,1.421,1.421,1.421,2.186792,0.26723,1.547082133,0.78753,0.3731145,1.547082133,0.3731145,0.3731145,1.63,1.63,11.22528,4.829361,6.762447,0.02716,0.40142,0.25632,0.25632,0.25632,0.00225,0.00225,2.07281,0.4659,0.11122,0.4659,1.24489,2.82684,2.82684,1.07671,1.26331,0.687265,1.57506,0.43366,0.43366,1.269355,0.9632417,1.164991,1.183364,0.797014
1007,2.773018771,0.8360869,0.3530486,0.3530486,0.3530486,0.3530486,0.59462,0.59462,0.2765962,0.2392,0.2392,0.2392,0.14679,0.14679,0.14679,0.3763,0.3763,0.3763,0.3763,0.02716,0.02716,1.330549,1.330549,0.3530486,0.9634037,0.9634037,0.3530486,2.809177,2.809177,0.8051171,0.3858415,0.8051171,0.8051171,1.028377793,1.028377793,0.8051171,1.028377793,1.028377793,1.028377793,1.028377793,0.8051171,0.597593114,0.597593114,0.597593114,0.597593114,0.597593114,0.597593114,0.597593114,0.5171603,0.5171603,0.5171603,1.347456716,1.347456716,1.347456716,1.347456716,1.347456716,1.347456716,5.16388,0.02716,5.16388,0.02716,0.02716,0.02716,0.2200167,0.2200167,0.72427,0.72427,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,2.773018771,2.773018771,2.773018771,2.773018771,2.773018771,2.773018771,2.773018771,1.17775,0.02716,0.02716,1.540337,1.540337,0.79957,0.4317678,0.4317678,0.4317678,0.4317678,1.34205,0.33601,0.26723,0.9634037,0.5184556,1.835472533,1.835472533,1.835472533,1.835472533,1.835472533,1.835472533,1.835472533,1.835472533,1.421,1.421,1.421,2.186792,0.26723,1.562707728,0.78753,0.3731145,1.562707728,0.3731145,0.3731145,1.63,1.63,11.22528,4.829361,6.762447,0.02716,0.40142,0.25632,0.25632,0.25632,0.00225,0.00225,2.07281,0.4659,0.11122,0.4659,1.24489,2.82684,2.82684,1.07671,1.26331,0.687265,1.57506,0.43366,0.43366,1.269355,0.9632417,1.164991,1.183364,0.797014
1009,2.756926769,0.8360869,0.3530486,0.3530486,0.3530486,0.3530486,0.59462,0.59462,0.2765962,0.2392,0.2392,0.2392,0.14679,0.14679,0.14679,0.3763,0.3763,0.3763,0.3763,0.02716,0.02716,1.330549,1.330549,0.3530486,0.9634037,0.9634037,0.3530486,2.809177,2.809177,0.8051171,0.3858415,0.8051171,0.8051171,0.711774626,0.711774626,0.8051171,0.711774626,0.711774626,0.711774626,0.711774626,0.8051171,0.586756033,0.586756033,0.586756033,0.586756033,0.586756033,0.586756033,0.586756033,0.5171603,0.5171603,0.5171603,1.33672639,1.33672639,1.33672639,1.33672639,1.33672639,1.33672639,5.16388,0.02716,5.16388,0.02716,0.02716,0.02716,0.2200167,0.2200167,0.72427,0.72427,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,2.756926769,2.756926769,2.756926769,2.756926769,2.756926769,2.756926769,2.756926769,1.17775,0.02716,0.02716,1.540337,1.540337,0.79957,0.4317678,0.4317678,0.4317678,0.4317678,1.34205,0.33601,0.26723,0.9634037,0.5184556,1.823408586,1.823408586,1.823408586,1.823408586,1.823408586,1.823408586,1.823408586,1.823408586,1.421,1.421,1.421,2.186792,0.26723,1.556734228,0.78753,0.3731145,1.556734228,0.3731145,0.3731145,1.63,1.63,11.22528,4.829361,6.762447,0.02716,0.40142,0.25632,0.25632,0.25632,0.00225,0.00225,2.07281,0.4659,0.11122,0.4659,1.24489,2.82684,2.82684,1.07671,1.26331,0.687265,1.57506,0.43366,0.43366,1.269355,0.9632417,1.164991,1.183364,0.797014
1011,0.579616596,0.8360869,0.3530486,0.3530486,0.3530486,0.3530486,0.59462,0.59462,0.2765962,0.2392,0.2392,0.2392,0.14679,0.14679,0.14679,0.3763,0.3763,0.3763,0.3763,0.02716,0.02716,1.330549,1.330549,0.3530486,0.9634037,0.9634037,0.3530486,2.809177,2.809177,0.8051171,0.3858415,0.8051171,0.8051171,1.179236996,1.179236996,0.8051171,1.179236996,1.179236996,1.179236996,1.179236996,0.8051171,0.726260587,0.726260587,0.726260587,0.726260587,0.726260587,0.726260587,0.726260587,0.5171603,0.5171603,0.5171603,1.79161294,1.79161294,1.79161294,1.79161294,1.79161294,1.79161294,5.16388,0.02716,5.16388,0.02716,0.02716,0.02716,0.2200167,0.2200167,0.72427,0.72427,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.579616596,0.579616596,0.579616596,0.579616596,0.579616596,0.579616596,0.579616596,1.17775,0.02716,0.02716,1.540337,1.540337,0.79957,0.4317678,0.4317678,0.4317678,0.4317678,1.34205,0.33601,0.26723,0.9634037,0.5184556,1.851895849,1.851895849,1.851895849,1.851895849,1.851895849,1.851895849,1.851895849,1.851895849,1.421,1.421,1.421,2.186792,0.26723,1.547250876,0.78753,0.3731145,1.547250876,0.3731145,0.3731145,1.63,1.63,11.22528,4.829361,6.762447,0.02716,0.40142,0.25632,0.25632,0.25632,0.00225,0.00225,2.07281,0.4659,0.11122,0.4659,1.24489,2.82684,2.82684,1.07671,1.26331,0.687265,1.57506,0.43366,0.43366,1.269355,0.9632417,1.164991,1.183364,0.797014
1013,0.494249846,0.8360869,0.3530486,0.3530486,0.3530486,0.3530486,0.59462,0.59462,0.2765962,0.2392,0.2392,0.2392,0.14679,0.14679,0.14679,0.3763,0.3763,0.3763,0.3763,0.02716,0.02716,1.330549,1.330549,0.3530486,0.9634037,0.9634037,0.3530486,2.809177,2.809177,0.8051171,0.3858415,0.8051171,0.8051171,0.671911766,0.671911766,0.8051171,0.671911766,0.671911766,0.671911766,0.671911766,0.8051171,0.558342666,0.558342666,0.558342666,0.558342666,0.558342666,0.558342666,0.558342666,0.5171603,0.5171603,0.5171603,1.792457456,1.792457456,1.792457456,1.792457456,1.792457456,1.792457456,5.16388,0.02716,5.16388,0.02716,0.02716,0.02716,0.2200167,0.2200167,0.72427,0.72427,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.494249846,0.494249846,0.494249846,0.494249846,0.494249846,0.494249846,0.494249846,1.17775,0.02716,0.02716,1.540337,1.540337,0.79957,0.4317678,0.4317678,0.4317678,0.4317678,1.34205,0.33601,0.26723,0.9634037,0.5184556,1.449216112,1.449216112,1.449216112,1.449216112,1.449216112,1.449216112,1.449216112,1.449216112,1.421,1.421,1.421,2.186792,0.26723,2.877512757,0.78753,0.3731145,2.877512757,0.3731145,0.3731145,1.63,1.63,11.22528,4.829361,6.762447,0.02716,0.40142,0.25632,0.25632,0.25632,0.00225,0.00225,2.07281,0.4659,0.11122,0.4659,1.24489,2.82684,2.82684,1.07671,1.26331,0.687265,1.57506,0.43366,0.43366,1.269355,0.9632417,1.164991,1.183364,0.797014
1015,0.470100797,0.8360869,0.3530486,0.3530486,0.3530486,0.3530486,0.59462,0.59462,0.2765962,0.2392,0.2392,0.2392,0.14679,0.14679,0.14679,0.3763,0.3763,0.3763,0.3763,0.02716,0.02716,1.330549,1.330549,0.3530486,0.9634037,0.9634037,0.3530486,2.809177,2.809177,0.8051171,0.3858415,0.8051171,0.8051171,1.447719438,1.447719438,0.8051171,1.447719438,1.447719438,1.447719438,1.447719438,0.8051171,0.801728398,0.801728398,0.801728398,0.801728398,0.801728398,0.801728398,0.801728398,0.5171603,0.5171603,0.5171603,1.346926824,1.346926824,1.346926824,1.346926824,1.346926824,1.346926824,5.16388,0.02716,5.16388,0.02716,0.02716,0.02716,0.2200167,0.2200167,0.72427,0.72427,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.470100797,0.470100797,0.470100797,0.470100797,0.470100797,0.470100797,0.470100797,1.17775,0.02716,0.02716,1.540337,1.540337,0.79957,0.4317678,0.4317678,0.4317678,0.4317678,1.34205,0.33601,0.26723,0.9634037,0.5184556,1.820373796,1.820373796,1.820373796,1.820373796,1.820373796,1.820373796,1.820373796,1.820373796,1.421,1.421,1.421,2.186792,0.26723,1.546879642,0.78753,0.3731145,1.546879642,0.3731145,0.3731145,1.63,1.63,11.22528,4.829361,6.762447,0.02716,0.40142,0.25632,0.25632,0.25632,0.00225,0.00225,2.07281,0.4659,0.11122,0.4659,1.24489,2.82684,2.82684,1.07671,1.26331,0.687265,1.57506,0.43366,0.43366,1.269355,0.9632417,1.164991,1.183364,0.797014
1017,1.301941189,0.8360869,0.3530486,0.3530486,0.3530486,0.3530486,0.59462,0.59462,0.2765962,0.2392,0.2392,0.2392,0.14679,0.14679,0.14679,0.3763,0.3763,0.3763,0.3763,0.02716,0.02716,1.330549,1.330549,0.3530486,0.9634037,0.9634037,0.3530486,2.809177,2.809177,0.8051171,0.3858415,0.8051171,0.8051171,1.351291122,1.351291122,0.8051171,1.351291122,1.351291122,1.351291122,1.351291122,0.8051171,0.659872291,0.659872291,0.659872291,0.659872291,0.659872291,0.659872291,0.659872291,0.5171603,0.5171603,0.5171603,1.360058226,1.360058226,1.360058226,1.360058226,1.360058226,1.360058226,5.16388,0.02716,5.16388,0.02716,0.02716,0.02716,0.2200167,0.2200167,0.72427,0.72427,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,0.3763,1.301941189,1.301941189,1.301941189,1.301941189,1.301941189,1.301941189,1.301941189,1.17775,0.02716,0.02716,1.540337,1.540337,0.79957,0.4317678,0.4317678,0.4317678,0.4317678,1.34205,0.33601,0.26723,0.9634037,0.5184556,1.037305117,1.037305117,1.037305117,1.037305117,1.037305117,1.037305117,1.037305117,1.037305117,1.421,1.421,1.421,2.186792,0.26723,1.537261295,0.78753,0.3731145,1.537261295,0.3731145,0.3731145,1.63,1.63,11.22528,4.829361,6.762447,0.02716,0.40142,0.25632,0.25632,0.25632,0.00225,0.00225,2.07281,0.4659,0.11122,0.4659,1.24489,2.82684,2.82684,1.07671,1.26331,0.687265,1.57506,0.43366,0.43366,1.269355,0.9632417,1.164991,1.183364,0.797014
