DISCLAIMER,AnimalModuleReporter.report_daily_animal_population.sim_day (simulation day),AnimalModuleReporter.report_daily_animal_population.num_animals (animals),AnimalModuleReporter.report_daily_animal_population.AnimalType.CALF_deaths (animals),AnimalModuleReporter.report_daily_animal_population.AnimalType.HEIFER_I_deaths (animals),AnimalModuleReporter.report_daily_animal_population.AnimalType.HEIFER_II_deaths (animals),AnimalModuleReporter.report_daily_animal_population.AnimalType.HEIFER_III_deaths (animals),AnimalModuleReporter.report_daily_animal_population.AnimalType.LAC_COW_deaths (animals),AnimalModuleReporter.report_daily_animal_population.AnimalType.DRY_COW_deaths (animals),AnimalModuleReporter.report_daily_animal_population.num_calves (animals),AnimalModuleReporter.report_daily_animal_population.num_heiferIs (animals),AnimalModuleReporter.report_daily_animal_population.num_heiferIIs (animals),AnimalModuleReporter.report_daily_animal_population.num_heiferIIIs (animals),AnimalModuleReporter.report_daily_animal_population.num_lactating_cows (animals),AnimalModuleReporter.report_daily_animal_population.num_dry_cows (animals),AnimalModuleReporter.report_daily_animal_population.num_cows_total (animals)
"Under construction, use the results with caution.",0,187,0,0,0,0,0,0,9,43,39,5,77,14,91
,1,187,0,0,0,0,0,0,9,43,39,4,78,14,92
,2,192,0,0,0,0,0,0,8,44,39,9,78,14,92
,3,196,0,0,0,0,0,0,12,44,39,3,84,14,98
,4,196,0,0,0,0,0,0,12,44,39,3,84,14,98
,5,197,0,0,0,0,0,0,12,44,40,3,86,12,98
,6,197,0,0,0,0,0,0,12,44,40,3,86,12,98
,7,197,0,0,0,0,0,0,12,43,41,3,86,12,98
,8,197,0,0,0,0,0,0,12,43,41,3,86,12,98
,9,197,0,0,0,0,0,0,12,43,41,2,87,12,99
,10,197,0,0,0,0,0,0,12,43,41,2,87,12,99
,11,197,0,0,0,0,0,0,12,42,42,2,87,12,99
,12,197,0,0,0,0,0,0,12,42,42,2,87,12,99
,13,198,0,0,0,0,0,0,13,42,42,1,89,11,100
,14,198,0,0,0,0,0,0,12,43,42,1,89,11,100
,15,198,0,0,0,0,0,0,12,43,42,1,88,12,100
,16,198,0,0,0,0,0,0,11,44,42,0,88,13,101
,17,198,0,0,0,0,0,0,11,44,42,0,88,13,101
,18,198,0,0,0,0,0,0,11,43,43,0,88,13,101
,19,198,0,0,0,0,0,0,11,43,43,0,87,14,101
,20,198,0,0,0,0,0,0,11,43,43,0,87,14,101
,21,198,0,0,0,0,0,0,11,41,45,0,86,15,101
,22,198,0,0,0,0,0,0,11,40,46,0,87,14,101
,23,198,0,0,0,0,0,0,11,40,46,0,85,16,101
,24,198,0,0,0,0,0,0,11,40,45,1,85,16,101
,25,198,0,0,0,0,0,0,11,40,45,1,85,16,101
,26,198,0,0,0,0,0,0,11,40,45,1,84,17,101
,27,199,0,0,0,0,0,0,12,40,45,1,85,16,101
,28,199,0,0,0,0,0,0,12,40,45,1,85,16,101
,29,199,0,0,0,0,0,0,12,40,45,1,85,16,101
,30,200,0,0,0,0,0,0,13,40,45,1,86,15,101
,31,200,0,0,0,0,0,0,13,40,45,1,86,15,101
,32,200,0,0,0,0,0,0,13,40,45,1,86,15,101
,33,200,0,0,0,0,0,0,13,40,45,1,86,15,101
,34,201,0,0,0,0,0,0,14,40,45,1,87,14,101
,35,201,0,0,0,0,0,0,14,39,46,1,87,14,101
,36,201,0,0,0,0,0,0,13,40,46,1,87,14,101
,37,201,0,0,0,0,0,0,12,41,46,1,87,14,101
,38,201,0,0,0,0,0,0,12,41,46,1,87,14,101
,39,201,0,0,0,0,0,0,12,41,46,1,87,14,101
,40,201,0,0,0,0,0,0,11,42,46,1,87,14,101
,41,201,0,0,0,0,0,0,11,42,46,1,87,14,101
,42,200,0,0,0,0,0,0,11,42,46,1,86,14,100
,43,200,0,0,0,0,0,0,11,42,46,1,86,14,100
,44,200,0,0,0,0,0,0,11,42,46,0,86,15,101
,45,200,0,0,0,0,0,0,11,42,46,0,86,15,101
,46,200,0,0,0,0,0,0,11,42,46,0,86,15,101
,47,201,0,0,0,0,0,0,12,42,46,0,87,14,101
,48,201,0,0,0,0,0,0,12,41,47,0,87,14,101
,49,201,0,0,0,0,0,0,12,41,46,1,87,14,101
,50,202,0,0,0,0,0,0,13,41,46,1,88,13,101
,51,202,0,0,0,0,0,0,13,41,46,1,87,14,101
,52,203,0,0,0,0,0,0,13,42,46,1,88,13,101
,53,203,0,0,0,0,0,0,13,41,47,1,88,13,101
,54,203,0,0,0,0,0,0,13,41,47,1,88,13,101
,55,204,0,0,0,0,0,0,14,41,47,1,89,12,101
,56,205,0,0,0,0,0,0,15,41,47,1,90,11,101
,57,205,0,0,0,0,0,0,15,39,49,1,90,11,101
,58,205,0,0,0,0,0,0,15,39,49,1,90,11,101
,59,205,0,0,0,0,0,0,15,39,49,1,90,11,101
,60,205,0,0,0,0,0,0,14,40,49,1,90,11,101
,61,205,0,0,0,0,0,0,14,39,49,2,90,11,101
,62,205,0,0,0,0,0,0,14,38,50,2,90,11,101
,63,205,0,0,0,0,0,0,10,42,50,2,90,11,101
,64,205,0,0,0,0,0,0,10,42,50,2,90,11,101
,65,205,0,0,0,0,0,0,9,43,50,2,90,11,101
,66,205,0,0,0,0,0,0,9,43,50,2,90,11,101
,67,205,0,0,0,0,0,0,9,43,50,2,91,10,101
,68,206,0,0,0,0,0,0,10,43,50,2,92,9,101
,69,207,0,0,0,0,0,0,11,43,50,1,93,9,102
,70,207,0,0,0,0,0,0,11,43,50,1,93,9,102
,71,207,0,0,0,0,0,0,11,43,50,1,93,9,102
,72,207,0,0,0,0,0,0,11,43,50,1,94,8,102
,73,207,0,0,0,0,0,0,10,44,50,1,94,8,102
,74,207,0,0,0,0,0,0,10,44,50,1,92,10,102
,75,207,0,0,0,0,0,0,10,44,50,1,92,10,102
,76,207,0,0,0,0,0,0,10,44,50,1,92,10,102
,77,207,0,0,0,0,0,0,10,44,50,1,92,10,102
,78,207,0,0,0,0,0,0,10,43,51,1,93,9,102
,79,207,0,0,0,0,0,0,10,43,51,1,93,9,102
,80,209,0,0,0,0,0,0,12,43,51,1,95,7,102
,81,209,0,0,0,0,0,0,12,43,50,1,96,7,103
,82,208,0,0,0,0,0,0,12,43,50,0,96,7,103
,83,209,0,0,0,0,0,0,13,43,50,0,97,6,103
,84,209,0,0,0,0,0,0,13,43,50,0,96,7,103
,85,209,0,0,0,0,0,0,13,43,50,0,96,7,103
,86,209,0,0,0,0,0,0,13,43,50,0,96,7,103
,87,209,0,0,0,0,0,0,12,44,50,0,96,7,103
,88,209,0,0,0,0,0,0,12,43,51,0,96,7,103
,89,209,0,0,0,0,0,0,12,43,51,0,97,6,103
,90,210,0,0,0,0,0,0,12,44,51,0,97,6,103
,91,210,0,0,0,0,0,0,12,44,51,0,96,7,103
,92,210,0,0,0,0,0,0,12,44,51,0,96,7,103
,93,210,0,0,0,0,0,0,12,44,51,0,95,8,103
,94,210,0,0,0,0,0,0,11,45,51,0,95,8,103
,95,210,0,0,0,0,0,0,11,45,51,0,94,9,103
,96,210,0,0,0,0,0,0,11,45,51,0,94,9,103
,97,210,0,0,0,0,0,0,11,45,50,1,94,9,103
,98,209,0,0,0,0,0,0,11,45,50,0,94,9,103
,99,209,0,0,0,0,0,0,11,45,50,0,93,10,103
,100,209,0,0,0,0,0,0,11,45,50,0,92,11,103
,101,209,0,0,0,0,0,0,11,45,50,0,92,11,103
,102,209,0,0,0,0,0,0,11,45,50,0,92,11,103
,103,209,0,0,0,0,0,0,11,45,50,0,92,11,103
,104,209,0,0,0,0,0,0,11,45,50,0,92,11,103
,105,209,0,0,0,0,0,0,11,45,50,0,91,12,103
,106,209,0,0,0,0,0,0,11,45,50,0,91,12,103
,107,209,0,0,0,0,0,0,10,46,50,0,91,12,103
,108,209,0,0,0,0,0,0,10,46,50,0,91,12,103
,109,209,0,0,0,0,0,0,10,45,51,0,91,12,103
,110,209,0,0,0,0,0,0,9,46,51,0,91,12,103
,111,209,0,0,0,0,0,0,9,45,52,0,90,13,103
,112,209,0,0,0,0,0,0,8,46,50,2,90,13,103
,113,207,0,0,0,0,0,0,8,46,50,0,90,13,103
,114,208,0,0,0,0,0,0,9,46,50,0,91,12,103
,115,208,0,0,0,0,0,0,8,47,50,0,91,12,103
,116,208,0,0,0,0,0,0,7,48,49,1,91,12,103
,117,207,0,0,0,0,0,0,7,48,48,1,91,12,103
,118,206,0,0,0,0,0,0,7,48,48,0,91,12,103
,119,206,0,0,0,0,0,0,7,48,48,0,91,12,103
,120,206,0,0,0,0,0,0,7,48,48,0,91,12,103
,121,206,0,0,0,0,0,0,7,48,48,0,91,12,103
,122,206,0,0,0,0,0,0,7,48,48,0,91,12,103
,123,206,0,0,0,0,0,0,7,48,47,1,91,12,103
,124,205,0,0,0,0,0,0,7,48,47,0,91,12,103
,125,204,0,0,0,0,1,0,7,48,47,0,89,13,102
,126,203,0,0,0,0,0,0,7,48,47,0,88,13,101
,127,203,0,0,0,0,0,0,7,48,45,2,88,13,101
,128,203,0,0,0,0,0,0,6,48,46,2,88,13,101
,129,203,0,0,0,0,0,0,5,49,46,2,88,13,101
,130,203,0,0,0,0,0,0,5,48,47,2,88,13,101
,131,203,0,0,0,0,0,0,5,48,47,2,88,13,101
,132,203,0,0,0,0,0,0,5,48,47,2,88,13,101
,133,203,0,0,0,0,0,0,5,48,46,3,88,13,101
,134,202,0,0,0,0,0,0,5,48,46,2,88,13,101
,135,202,0,0,0,0,0,0,5,47,46,3,88,13,101
,136,201,0,0,0,0,0,0,5,47,46,2,89,12,101
