DISCLAIMER,AnimalModuleReporter.report_herd_statistics_data.simulation_day (day),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.202 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.216 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.51 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.66 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.167 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.byproducts_total (kg)
"Under construction, use the results with caution.",0,58.5,58.5,117.0,0.0,1370.244324630306,1185.0518164346283,484.6095926142369,484.6095926142369,173.02657700034118,123.46167213045179,685.3474573372889,4506.35103276149,685.347457337294,459.57736812399827,204.97964029601334,190.13488459997274,190.13488459997274,27.520414669372165,27.520414669372165,255.68227618933943,1355.549883148041,255.68227618933923,989.916308,4480.332007,1361.742347,2071.776267,742.84218,550.853564,10197.462673000002,2104.5845270000077
,1,58.5,58.5,117.0,0.0,1363.4101883478606,1179.1413335596426,482.1925871647893,482.1925871647893,172.16360155395543,122.8459031921453,681.9292655301205,4483.875466513302,681.9292655301255,459.57736812399827,204.97964029601334,190.13488459997274,190.13488459997274,27.520414669372165,27.520414669372165,255.68227618933943,1355.549883148041,255.68227618933923,995.005852,4503.367133000001,1368.743593,2082.428073,746.66142,553.685716,10249.891787,2115.4050130000073
,2,58.5,58.5,117.0,0.0,1353.1589839241924,1170.275609247164,478.567078990618,478.567078990618,170.8691383843768,121.92224978468556,676.8019778193676,4450.1621171410225,676.8019778193726,581.3930560604797,259.3115931455591,240.53208292767636,240.53208292767636,34.81498241306117,34.81498241306117,323.4534819262728,1714.8522618137868,323.45348192627307,997.550624,4514.884696,1372.244216,2087.753976,748.57104,555.1017919999999,10276.106344,2120.815256000007
,3,69.0,69.0,138.0,0.0,1356.576052065415,1173.230850684657,479.77558171534173,479.77558171534173,171.30062610756968,122.2301342538388,678.5110737229519,4461.399900265116,678.5110737229569,465.11444484838376,207.44927451644725,192.42566634214108,192.42566634214108,27.85198593044894,27.85198593044894,258.7627855410182,1371.8818094510295,258.762785541018,1050.990836,4756.753519000001,1445.757299,2199.597939,788.6730600000001,584.839388,10826.612041,2234.430359000003
,4,70.5,70.5,141.0,0.0,1356.576052065415,1173.230850684657,479.77558171534173,479.77558171534173,171.30062610756968,122.2301342538388,678.5110737229519,4461.399900265116,678.5110737229569,459.57736812399827,204.97964029601334,190.13488459997274,190.13488459997274,27.520414669372165,27.520414669372165,255.68227618933943,1355.549883148041,255.68227618933923,1053.535608,4768.271082,1449.257922,2204.923842,790.5826800000001,586.255464,10852.826598,2239.840602000003
,5,70.5,70.5,141.0,0.0,1353.1589839241924,1170.275609247164,478.567078990618,478.567078990618,170.8691383843768,121.92224978468556,676.8019778193676,4450.1621171410225,676.8019778193726,454.0402913996127,202.51000607557944,187.8441028578044,187.8441028578044,27.188843408295394,27.188843408295394,252.60176683766065,1339.2179568450524,252.60176683766045,1061.169924,4802.823771,1459.759791,2220.901551,796.31154,590.503692,10931.470269000001,2256.0713310000024
,6,72.0,72.0,144.0,0.0,1353.1589839241924,1170.275609247164,478.567078990618,478.567078990618,170.8691383843768,121.92224978468556,676.8019778193676,4450.1621171410225,676.8019778193726,442.9661379508417,197.57073763471166,183.2625393734677,183.2625393734677,26.52570088614185,26.52570088614185,246.44074813430308,1306.5541042390753,246.44074813430285,1066.259468,4825.858897,1466.761037,2231.5533570000002,800.1307800000001,593.335844,10983.899383,2266.891817000002
,7,73.5,73.5,147.0,0.0,1353.1589839241924,1170.275609247164,478.567078990618,478.567078990618,170.8691383843768,121.92224978468556,676.8019778193676,4450.1621171410225,676.8019778193726,442.9661379508417,197.57073763471166,183.2625393734677,183.2625393734677,26.52570088614185,26.52570088614185,246.44074813430308,1306.5541042390753,246.44074813430285,1066.259468,4825.858897,1466.761037,2231.5533570000002,800.1307800000001,593.335844,10983.899383,2266.891817000002
,8,75.0,75.0,150.0,0.0,1353.1589839241924,1170.275609247164,478.567078990618,478.567078990618,170.8691383843768,121.92224978468556,676.8019778193676,4450.1621171410225,676.8019778193726,437.42906122645616,195.10110341427776,180.97175763129937,180.97175763129937,26.194129625065074,26.194129625065074,243.3602387826243,1290.222177936087,243.36023878262407,1066.259468,4825.858897,1466.761037,2231.5533570000002,800.1307800000001,593.335844,10983.899383,2266.891817000002
,9,79.5,79.5,159.0,0.0,1353.1589839241924,1170.275609247164,478.567078990618,478.567078990618,170.8691383843768,121.92224978468556,676.8019778193676,4450.1621171410225,676.8019778193726,409.74367760452856,182.75293231210827,169.51784892045762,169.51784892045762,24.536273319681207,24.536273319681207,227.95769202423034,1208.5625464211446,227.95769202423014,1078.983328,4883.446712,1484.264152,2258.1828720000003,809.67888,600.4162239999999,11114.972168,2293.943032000001
