DISCLAIMER,AnimalModuleReporter.report_herd_statistics_data.simulation_day (day),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.202 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.216 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.51 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.66 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.167 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.byproducts_total (kg)
"Under construction, use the results with caution.",0,55.5,55.5,111.0,0.0,1371.4697415341564,1186.1116146776822,485.0429815915769,485.0429815915769,173.18131560312926,123.57208457098287,685.9603672717699,4510.381086840875,685.9603672717744,450.9646251558144,201.13820449427476,186.5716480180029,186.5716480180029,27.004666344138737,27.004666344138737,250.8906439657422,1330.1461023401146,250.89064396574253,649.0021320000001,6060.841343,892.377736,2813.469043,486.75159899999994,689.564863,11592.006716,1379.1293349999946
,1,55.5,55.5,111.0,0.0,1368.0665908107464,1183.168409678482,483.83940099209406,483.83940099209406,172.75158529145895,123.26545408817645,684.2582323653883,4499.1890742184405,684.2582323653928,428.6947671234285,191.20545365505131,177.35823330106447,177.35823330106447,25.671102574057812,25.671102574057812,238.50098253533517,1264.4598750640596,238.50098253533548,657.3013920000001,6138.345708,903.789216,2849.4469080000003,492.97604399999994,698.382828,11740.242096,1396.7652599999942
,2,55.5,55.5,111.0,0.0,1368.0665908107464,1183.168409678482,483.83940099209406,483.83940099209406,172.75158529145895,123.26545408817645,684.2582323653883,4499.1890742184405,684.2582323653928,556.7464508096474,248.31877098058612,230.33536792346035,230.33536792346035,33.33909425202313,33.33909425202313,309.74153576017557,1642.1556819013763,309.7415357601755,653.9816880000001,6107.343962,899.2246240000001,2835.055762,490.48626599999994,694.855642,11680.947944000001,1389.7108899999944
,3,63.0,63.0,126.0,0.0,1368.0665908107464,1183.168409678482,483.83940099209406,483.83940099209406,172.75158529145895,123.26545408817645,684.2582323653883,4499.1890742184405,684.2582323653928,450.9646251558144,201.13820449427476,186.5716480180029,186.5716480180029,27.004666344138737,27.004666344138737,250.8906439657422,1330.1461023401146,250.89064396574253,687.1787280000001,6417.361422,944.870544,2978.967222,515.384046,730.1275019999999,12273.889464,1460.2545899999927
,4,64.5,64.5,129.0,0.0,1368.0665908107464,1183.168409678482,483.83940099209406,483.83940099209406,172.75158529145895,123.26545408817645,684.2582323653883,4499.1890742184405,684.2582323653928,439.8296961396215,196.17182907466304,181.96494065953368,181.96494065953368,26.337884459098273,26.337884459098273,244.6958132505387,1297.302988702087,244.695813250539,690.4984320000001,6448.363168,949.435136,2993.358368,517.873824,733.654688,12333.183616000002,1467.3089599999926
,5,61.5,61.5,123.0,0.0,1374.872892257566,1189.0548196768825,486.2465621910597,486.2465621910597,173.61104591479955,123.87871505378928,687.6625021781514,4521.573099463308,687.662502178156,450.9646251558144,201.13820449427476,186.5716480180029,186.5716480180029,27.004666344138737,27.004666344138737,250.8906439657422,1330.1461023401146,250.89064396574253,687.1787280000001,6417.361422,944.870544,2978.967222,515.384046,730.1275019999999,12273.889464,1460.2545899999927
,6,61.5,61.5,123.0,0.0,1374.872892257566,1189.0548196768825,486.2465621910597,486.2465621910597,173.61104591479955,123.87871505378928,687.6625021781514,4521.573099463308,687.662502178156,462.0995541720074,206.10457991388648,191.1783553764721,191.1783553764721,27.6714482291792,27.6714482291792,257.0854746809457,1362.9892159781425,257.08547468094605,683.8590240000001,6386.359676,940.305952,2964.5760760000003,512.894268,726.600316,12214.595312000001,1453.200219999993
,7,63.0,63.0,126.0,0.0,1371.4697415341564,1186.1116146776822,485.0429815915769,485.0429815915769,173.18131560312926,123.57208457098287,685.9603672717699,4510.381086840875,685.9603672717744,462.0995541720074,206.10457991388648,191.1783553764721,191.1783553764721,27.6714482291792,27.6714482291792,257.0854746809457,1362.9892159781425,257.08547468094605,685.5188760000001,6401.860549,942.588248,2971.7716490000003,514.139157,728.363909,12244.242388,1456.7274049999928
,8,66.0,66.0,132.0,0.0,1371.4697415341564,1186.1116146776822,485.0429815915769,485.0429815915769,173.18131560312926,123.57208457098287,685.9603672717699,4510.381086840875,685.9603672717744,450.9646251558144,201.13820449427476,186.5716480180029,186.5716480180029,27.004666344138737,27.004666344138737,250.8906439657422,1330.1461023401146,250.89064396574253,688.8385800000001,6432.862295,947.1528400000001,2986.162795,516.628935,731.891095,12303.536540000001,1463.7817749999926
,9,70.5,70.5,141.0,0.0,1371.4697415341564,1186.1116146776822,485.0429815915769,485.0429815915769,173.18131560312926,123.57208457098287,685.9603672717699,4510.381086840875,685.9603672717744,417.5598381072356,186.2390782354396,172.75152594259526,172.75152594259526,25.004320689017348,25.004320689017348,232.30615182013167,1231.616761426032,232.30615182013196,698.7976920000001,6525.867533000001,960.846616,3029.336233,524.098269,742.472653,12481.418996000002,1484.9448849999922
