DISCLAIMER,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_urea (g/L),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_urine (kg),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_manure_total_ammoniacal_nitrogen (kg),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_urine_nitrogen (kg),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_manure_nitrogen (kg),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_manure_mass (kg),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_total_solids (kg),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_degradable_volatile_solids (kg),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_non_degradable_volatile_solids (kg),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_inorganic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_organic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_non_water_inorganic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_non_water_organic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_phosphorus (g),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_potassium (g),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_urea (g/L),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_urine (kg),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_manure_total_ammoniacal_nitrogen (kg),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_urine_nitrogen (kg),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_manure_nitrogen (kg),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_manure_mass (kg),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_total_solids (kg),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_degradable_volatile_solids (kg),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_non_degradable_volatile_solids (kg),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_inorganic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_organic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_non_water_inorganic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_non_water_organic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_phosphorus (g),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_potassium (g),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_urea (g/L),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_urine (kg),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_manure_total_ammoniacal_nitrogen (kg),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_urine_nitrogen (kg),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_manure_nitrogen (kg),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_manure_mass (kg),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_total_solids (kg),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_degradable_volatile_solids (kg),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_non_degradable_volatile_solids (kg),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_inorganic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_organic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_non_water_inorganic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_non_water_organic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_phosphorus (g),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_potassium (g),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_urea (g/L),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_urine (kg),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_manure_total_ammoniacal_nitrogen (kg),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_urine_nitrogen (kg),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_manure_nitrogen (kg),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_manure_mass (kg),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_total_solids (kg),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_degradable_volatile_solids (kg),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_non_degradable_volatile_solids (kg),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_inorganic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_organic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_non_water_inorganic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_non_water_organic_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_phosphorus (g),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_phosphorus_fraction (unitless),AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_potassium (g)
"Under construction, use the results with caution.",371.27999999999986,78.0,1.3629242250000007,1.3629242250000007,3.028720500000002,403.65000000000026,45.981,5.450761468873886,0.6056401632082096,0.01710409857111212,0.0017104098571112123,0.0,0.0,354.08904861916324,0.03420819714222424,0.0,5540.644548486603,3609.0,62.85144294927844,62.85144294927844,98.17165165282846,15341.115869771822,1896.776999437843,899.0323975106722,99.89248861229682,0.08736245970389765,0.008736245970389765,0.0,0.0,6648.212861555818,0.1747249194077953,79174.78026301411,1094.5120942486815,1062.999999999999,17.466947668725027,17.466947668725027,27.567327319769586,2884.497976458855,448.1957413415051,388.6327143875441,47.18212186257968,0.014579859321462814,0.0014579859321462814,0.0,0.0,1018.3381100597995,0.029159718642925627,21706.46225733943,3573.3525894918657,6293.893786174614,74.96072207100003,74.96072207100003,170.94321258090042,28727.641809785448,3549.0224747772213,3099.032024141158,347.1001298058003,0.21859532706395704,0.021859532706395717,0.0,0.0,32076.845514941204,0.4371906541279141,110131.14965441253
,371.27999999999986,78.0,1.3629242250000007,1.3629242250000007,3.028720500000002,403.65000000000026,45.981,5.510077773086733,0.6122308636763032,0.0025719188938160492,0.0002571918893816049,0.0,0.0,53.24386493977986,0.0051438377876320985,0.0,5540.644548486603,3609.0,62.85144294927844,62.85144294927844,98.17165165282846,15333.794865734033,1896.776999437843,900.9876412719856,100.10973791910959,0.04515581933149035,0.004515581933149035,0.0,0.0,3398.854371699289,0.0903116386629807,79174.78026301411,1032.2029591580788,1014.1999999999989,16.582545255118703,16.582545255118703,26.171513278262264,2717.6792990303984,425.50228608370736,370.3504401227164,45.005277722545586,0.011897253529181256,0.0011897253529181253,0.0,0.0,862.4349217758637,0.023794507058362512,20607.400877220978,3635.224421542489,6334.570441973502,75.72243229883954,75.72243229883954,172.6866305607399,29062.903783298556,3585.2829274200944,3127.6111530649728,350.1555301195972,0.22103433416541832,0.022103433416541828,0.0,0.0,32413.4983935398,0.44206866833083663,111252.3022330685
,371.27999999999986,78.0,1.3629242250000007,1.3629242250000007,3.028720500000002,403.65000000000026,45.981,5.480533642056725,0.6089481824507469,0.0029596945959692853,0.00029596945959692853,0.0,0.0,61.271597525756135,0.005919389191938571,0.0,5536.347479787135,3602.0,62.729652958818896,62.729652958818896,98.00449406641242,15305.981797560915,1893.2258822322624,898.9021236308487,99.8780137367609,0.045198716175027395,0.0045198716175027425,0.0,0.0,3397.0929833881255,0.09039743235005479,78977.33692071233,1033.253567897721,1007.6088896819684,16.487508370734968,16.487508370734968,26.154277838884514,2762.673618896128,427.9507888211075,371.77484325116177,45.02441987331507,0.012208778528682945,0.0012208778528682949,0.0,0.0,947.732752587258,0.02441755705736589,20535.601674127527,3625.0107297743607,6360.818483070359,75.851513762916,75.851513762916,173.29628702486588,29171.990308378543,3601.13153927335,3143.7513722297667,351.96795421256064,0.22264159122763186,0.022264159122763204,0.0,0.0,32656.31561127031,0.4452831824552637,111543.63597700125
,352.2399999999999,74.0,1.2930306750000005,1.2930306750000005,2.8734015000000017,382.9500000000002,43.623,5.180803348187148,0.5756448164652384,0.002401093894180121,0.0002401093894180121,0.0,0.0,49.707445797316865,0.004802187788360242,0.0,5559.6845484866035,3613.0,62.921336499278446,62.921336499278446,98.32697065282845,15353.499466130736,1899.1349994378431,901.6125518774566,100.1791724308285,0.04534889251077811,0.004534889251077806,0.0,0.0,3403.560491412968,0.09069778502155622,79174.78026301411,959.6269903027991,971.4791249069516,15.667469795070673,15.667469795070673,24.862600221337992,2567.0239524509375,406.20058017217855,356.2829553389863,43.30309899418446,0.011387644684469069,0.0011387644684469067,0.0,0.0,861.0796060631683,0.022775289368938138,19513.86229673691,4137.861227857802,6600.957625847695,81.5694564049154,81.5694564049154,182.45597927924615,30635.861679711972,3752.0307477953097,3246.190406854483,363.2836844737757,0.2269275562398117,0.022692755623981167,0.0,0.0,33170.216792590756,0.4538551124796234,118693.05774740575
,409.3599999999998,86.0,1.502711325000001,1.502711325000001,3.339358500000003,445.05000000000035,50.69700000000001,5.613124913464044,0.6236805459404489,0.0057796073210946135,0.0005779607321094615,0.0,0.0,119.64943076130075,0.011559214642189227,0.0,5587.31868588554,3631.0,63.23481003019754,63.23481003019754,98.81660482566052,15435.16981136017,1908.5952338490044,904.725749690668,100.52508329896305,0.045497059004841314,0.004549705900484131,0.0,0.0,3416.0286431114346,0.09099411800968263,79569.66694761766,969.8885428739709,1008.5572049616695,16.048324908990434,16.048324908990434,25.734309211257752,2687.30847932176,424.3308064936152,373.09916565192276,45.257017911806024,0.012672122592523486,0.0012672122592523487,0.0,0.0,1029.1880383966247,0.025344245185046972,20074.438586064898,3894.4264798362365,6680.003099036815,80.3911020835113,80.3911020835113,183.8436958884858,30966.33464907525,3822.0860044768574,3335.1839091569495,373.2516424937475,0.2311804737335042,0.02311804737335042,0.0,0.0,33938.83687274013,0.4623609474670084,118276.0742485715
,409.3599999999998,86.0,1.502711325000001,1.502711325000001,3.339358500000003,445.05000000000035,50.69700000000001,5.678729092501014,0.630969899166779,0.0025455092423924707,0.0002545509242392471,0.0,0.0,52.69713233600893,0.0050910184847849415,0.0,5582.095754585007,3636.0,63.32165324565709,63.32165324565709,98.90610291207656,15463.009626530837,1910.967351054585,903.8561460645808,100.42846067384218,0.04536452834255873,0.004536452834255874,0.0,0.0,3416.0704968790324,0.09072905668511747,79767.11028991944,986.989511656959,1017.747026427207,16.266407767333387,16.266407767333387,25.805324328507684,2634.4238244010053,422.27742500665806,371.5441428125254,45.21700699049087,0.012221189234542598,0.0012221189234542602,0.0,0.0,913.8562910917523,0.024442378469085195,20260.836329097914,3858.3700561408446,6720.402154226877,80.3911020835113,80.3911020835113,183.8436958884858,30975.619894254425,3822.0860044768574,3336.2155636111547,373.43901093285245,0.23779194080316385,0.02377919408031637,0.0,0.0,34925.81937530344,0.4755838816063277,118276.0742485715
,399.8399999999998,84.0,1.467764550000001,1.467764550000001,3.261699000000003,434.70000000000033,49.51800000000001,5.479386409624947,0.6088207121805495,0.002850425846638049,0.00028504258466380495,0.0,0.0,59.0095158771009,0.005700851693276098,0.0,5601.135754585008,3640.0,63.39154679565709,63.39154679565709,99.06142191207655,15476.292702660823,1913.325351054585,906.1956557283827,100.68840619204249,0.045436117805009786,0.004543611780500979,0.0,0.0,3410.8521928254136,0.09087223561001957,79767.11028991944,972.9637138232182,1009.0452046171806,16.10967100187384,16.10967100187384,25.560507242091653,2605.6773739648334,417.5473078010774,367.14665283657206,44.728396993162725,0.012305911465462746,0.001230591146546275,0.0,0.0,922.0666601836905,0.02461182293092549,20063.392986796134,3874.144685674386,6734.931417084794,80.61220268691288,80.61220268691288,184.1926493988626,31032.85614738728,3827.759368291307,3340.5544808307786,373.921112846144,0.23750119398641292,0.023750119398641297,0.0,0.0,34888.247300787734,0.47500238797282585,118550.83959360112
,409.3599999999998,86.0,1.502711325000001,1.502711325000001,3.339358500000003,445.05000000000035,50.69700000000001,5.634707106008982,0.6260785673343311,0.0029084204488198807,0.00029084204488198813,0.0,0.0,60.210120131469196,0.005816840897639761,0.0,5582.095754585007,3636.0,63.32165324565709,63.32165324565709,98.90610291207656,15473.173003877055,1910.967351054585,901.1417806513828,100.12686451682029,0.04523791047438367,0.004523791047438359,0.0,0.0,3408.242205078793,0.09047582094876734,79767.11028991944,1002.341885697377,1026.999999999999,16.45381757923463,16.45381757923463,25.963240430340665,2626.3026371786523,423.6157928659698,372.3280815668319,45.37049599361164,0.012763893656291662,0.001276389365629167,0.0,0.0,912.8832451201844,0.025527787312583324,20452.756871765312,3861.6518474110376,6741.796607392881,80.55085659402947,80.55085659402947,184.36645136802872,31097.195506357424,3834.5428669838443,3346.7074806319415,374.5447502629597,0.23847195442373914,0.023847195442373893,0.0,0.0,35046.142383034916,0.4769439088474783,118561.88519286987
,399.8399999999998,84.0,1.467764550000001,1.467764550000001,3.261699000000003,434.70000000000033,49.51800000000001,5.514214359213602,0.6126904843570665,0.002460379635823203,0.0002460379635823204,0.0,0.0,50.93477922081199,0.004920759271646406,0.0,5591.615754585007,3638.0,63.35660002065709,63.35660002065709,98.98376241207656,15476.075080932904,1912.146351054585,903.3170852905248,100.36856503228069,0.04523838882000295,0.004523838882000295,0.0,0.0,3402.9261917558365,0.0904767776400059,79767.11028991944,954.7403573067347,999.9999999999991,15.919243444913958,15.919243444913958,25.124652747131773,2506.7873113754467,408.48219464035907,361.0037981564164,44.112242281343256,0.01253264773321982,0.001253264773321982,0.0,0.0,874.5713911984632,0.02506529546643964,19783.10484213214,3916.691375107943,6775.039195708156,81.21415840423421,81.21415840423421,185.41331189915917,31265.040045335823,3851.5629584271933,3357.9362198039507,375.7923879487385,0.23896412431969347,0.023896412431969338,0.0,0.0,35081.66512510826,0.47792824863938693,119386.18122795873
,399.8399999999998,84.0,1.467764550000001,1.467764550000001,3.261699000000003,434.70000000000033,49.51800000000001,5.5783214500957,0.6198134944550775,0.00249735334489649,0.000249735334489649,0.0,0.0,51.70020894604715,0.00499470668979298,0.0,5595.912823284475,3645.0,63.47839001111664,63.47839001111664,99.1509199984926,15502.687540185534,1915.6974682601656,905.71867341145,100.63540815682781,0.04520866641405477,0.0045208666414054775,0.0,0.0,3404.4975621036237,0.09041733282810954,79964.55363222121,892.4312222161312,951.1999999999991,15.034841031307627,15.034841031307627,23.72883870562445,2340.993145715291,385.78873938256135,342.42223311434213,41.902143610504,0.011535473734675226,0.0011535473734675223,0.0,0.0,794.6303535424436,0.023070947469350452,18684.043462013688,3947.612917529805,6843.872318476583,82.00654167851542,82.00654167851542,187.0698288944156,31486.316220387078,3884.431661723798,3388.95863915518,379.40387017302584,0.24157190891303135,0.024157190891303134,0.0,0.0,35409.39326086625,0.4831438178260627,120501.81100698034
