DISCLAIMER,AnimalModuleReporter.report_herd_statistics_data.simulation_day (day),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.202 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.216 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.51 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.66 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.167 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.byproducts_total (kg)
"Under construction, use the results with caution.",0,57.0,57.0,114.0,0.0,1364.2678334415127,1179.8830654229457,482.49590755223505,482.49590755223505,172.27190004654415,122.92317867904455,682.3582290906086,4486.696021785126,682.3582290906058,455.2778011021617,203.06195730574288,188.35608142943414,188.35608142943414,27.26294797160437,27.26294797160437,253.29024568692532,1342.8680628969068,253.290245686925,1116.004712,3796.524371,1535.191511,1903.134241,837.460222,621.01748,9809.332537,2372.6517329999842
,1,57.0,57.0,114.0,0.0,1364.2678334415127,1179.8830654229457,482.49590755223505,482.49590755223505,172.27190004654415,122.92317867904455,682.3582290906086,4486.696021785126,682.3582290906058,432.79494672674633,193.03420632768152,179.05454654403,179.05454654403,25.916629553253536,25.916629553253536,240.78208540608952,1276.5535906550845,240.7820854060892,1130.275872,3845.0732759999996,1554.823116,1927.470996,848.169432,628.95888,9934.771572,2402.992547999984
,2,57.0,57.0,114.0,0.0,1364.2678334415127,1179.8830654229457,482.49590755223505,482.49590755223505,172.27190004654415,122.92317867904455,682.3582290906086,4486.696021785126,682.3582290906058,550.8299321976771,245.67989896250373,227.88760469240182,227.88760469240182,32.98480124959541,32.98480124959541,306.44992688047756,1624.7045699246526,306.4499268804776,1130.275872,3845.0732759999996,1554.823116,1927.470996,848.169432,628.95888,9934.771572,2402.992547999984
,3,67.5,67.5,135.0,0.0,1360.8741323633,1176.9480329218936,481.2956689762345,481.2956689762345,171.84336298175177,122.61739962760414,680.6608205605324,4475.535086407551,680.6608205605297,444.03637391445403,198.0480818167122,183.70531398673208,183.70531398673208,26.589788762428952,26.589788762428952,247.03616554650742,1309.7108267759959,247.0361655465071,1190.214744,4048.9786769999996,1637.275857,2029.685367,893.148114,662.3127599999999,10461.615519,2530.423970999982
,4,66.0,66.0,132.0,0.0,1360.8741323633,1176.9480329218936,481.2956689762345,481.2956689762345,171.84336298175177,122.61739962760414,680.6608205605324,4475.535086407551,680.6608205605297,449.6570875083079,200.55501956122754,186.0306977080831,186.0306977080831,26.92636836701666,26.92636836701666,250.16320561671637,1326.2894448364516,250.16320561671606,1190.214744,4048.9786769999996,1637.275857,2029.685367,893.148114,662.3127599999999,10461.615519,2530.423970999982
,5,66.0,66.0,132.0,0.0,1364.2678334415127,1179.8830654229457,482.49590755223505,482.49590755223505,172.27190004654415,122.92317867904455,682.3582290906086,4486.696021785126,682.3582290906058,455.2778011021617,203.06195730574288,188.35608142943414,188.35608142943414,27.26294797160437,27.26294797160437,253.29024568692532,1342.8680628969068,253.290245686925,1190.214744,4048.9786769999996,1637.275857,2029.685367,893.148114,662.3127599999999,10461.615519,2530.423970999982
,6,66.0,66.0,132.0,0.0,1364.2678334415127,1179.8830654229457,482.49590755223505,482.49590755223505,172.27190004654415,122.92317867904455,682.3582290906086,4486.696021785126,682.3582290906058,460.8985146960155,205.56889505025822,190.6814651507852,190.6814651507852,27.599527576192077,27.599527576192077,256.41728575713427,1359.4466809573626,256.417285757134,1187.360512,4039.2688959999996,1633.3495360000002,2024.8180160000002,891.006272,660.72448,10436.527712000001,2524.355807999982
,7,66.0,66.0,132.0,0.0,1360.8741323633,1176.9480329218936,481.2956689762345,481.2956689762345,171.84336298175177,122.61739962760414,680.6608205605324,4475.535086407551,680.6608205605297,460.8985146960155,205.56889505025822,190.6814651507852,190.6814651507852,27.599527576192077,27.599527576192077,256.41728575713427,1359.4466809573626,256.417285757134,1190.214744,4048.9786769999996,1637.275857,2029.685367,893.148114,662.3127599999999,10461.615519,2530.423970999982
,8,69.0,69.0,138.0,0.0,1357.4804312850872,1174.0130004208415,480.0954304002339,480.0954304002339,171.41482591695936,122.31162057616373,678.9634120304563,4464.374151029976,678.9634120304536,455.2778011021617,203.06195730574288,188.35608142943414,188.35608142943414,27.26294797160437,27.26294797160437,253.29024568692532,1342.8680628969068,253.290245686925,1195.923208,4068.3982389999996,1645.1284990000001,2039.420069,897.431798,665.48932,10511.791133,2542.560296999982
,9,67.5,67.5,135.0,0.0,1360.8741323633,1176.9480329218936,481.2956689762345,481.2956689762345,171.84336298175177,122.61739962760414,680.6608205605324,4475.535086407551,680.6608205605297,444.03637391445403,198.0480818167122,183.70531398673208,183.70531398673208,26.589788762428952,26.589788762428952,247.03616554650742,1309.7108267759959,247.0361655465071,1201.631672,4087.8178009999997,1652.981141,2049.154771,901.7154820000001,668.66588,10561.966747,2554.6966229999816
