DISCLAIMER,AnimalModuleReporter.report_average_genetics.herd_average_genetics.TBV_fat (kg),AnimalModuleReporter.report_average_genetics.herd_average_genetics.TBV_protein (kg),AnimalModuleReporter.report_average_genetics.herd_average_genetics.E_permanent_fat (kg),AnimalModuleReporter.report_average_genetics.herd_average_genetics.E_permanent_protein (kg),AnimalModuleReporter.report_average_genetics.herd_average_genetics.E_temporary_fat (kg),AnimalModuleReporter.report_average_genetics.herd_average_genetics.E_temporary_protein (kg),AnimalModuleReporter.report_average_genetics.herd_average_genetics.phenotype_fat (kg),AnimalModuleReporter.report_average_genetics.herd_average_genetics.phenotype_protein (kg),AnimalModuleReporter.report_average_genetics.herd_average_genetics.EBV_fat (kg),AnimalModuleReporter.report_average_genetics.herd_average_genetics.EBV_protein (kg),AnimalModuleReporter.report_average_genetics.herd_average_genetics.ranking_index (unitless),AnimalModuleReporter.report_average_genetics.calves_average_genetics.TBV_fat (kg),AnimalModuleReporter.report_average_genetics.calves_average_genetics.TBV_protein (kg),AnimalModuleReporter.report_average_genetics.calves_average_genetics.E_permanent_fat (kg),AnimalModuleReporter.report_average_genetics.calves_average_genetics.E_permanent_protein (kg),AnimalModuleReporter.report_average_genetics.calves_average_genetics.E_temporary_fat (kg),AnimalModuleReporter.report_average_genetics.calves_average_genetics.E_temporary_protein (kg),AnimalModuleReporter.report_average_genetics.calves_average_genetics.phenotype_fat (kg),AnimalModuleReporter.report_average_genetics.calves_average_genetics.phenotype_protein (kg),AnimalModuleReporter.report_average_genetics.calves_average_genetics.EBV_fat (kg),AnimalModuleReporter.report_average_genetics.calves_average_genetics.EBV_protein (kg),AnimalModuleReporter.report_average_genetics.calves_average_genetics.ranking_index (unitless),AnimalModuleReporter.report_average_genetics.heiferI_average_genetics.TBV_fat (kg),AnimalModuleReporter.report_average_genetics.heiferI_average_genetics.TBV_protein (kg),AnimalModuleReporter.report_average_genetics.heiferI_average_genetics.E_permanent_fat (kg),AnimalModuleReporter.report_average_genetics.heiferI_average_genetics.E_permanent_protein (kg),AnimalModuleReporter.report_average_genetics.heiferI_average_genetics.E_temporary_fat (kg),AnimalModuleReporter.report_average_genetics.heiferI_average_genetics.E_temporary_protein (kg),AnimalModuleReporter.report_average_genetics.heiferI_average_genetics.phenotype_fat (kg),AnimalModuleReporter.report_average_genetics.heiferI_average_genetics.phenotype_protein (kg),AnimalModuleReporter.report_average_genetics.heiferI_average_genetics.EBV_fat (kg),AnimalModuleReporter.report_average_genetics.heiferI_average_genetics.EBV_protein (kg),AnimalModuleReporter.report_average_genetics.heiferI_average_genetics.ranking_index (unitless),AnimalModuleReporter.report_average_genetics.heiferII_average_genetics.TBV_fat (kg),AnimalModuleReporter.report_average_genetics.heiferII_average_genetics.TBV_protein (kg),AnimalModuleReporter.report_average_genetics.heiferII_average_genetics.E_permanent_fat (kg),AnimalModuleReporter.report_average_genetics.heiferII_average_genetics.E_permanent_protein (kg),AnimalModuleReporter.report_average_genetics.heiferII_average_genetics.E_temporary_fat (kg),AnimalModuleReporter.report_average_genetics.heiferII_average_genetics.E_temporary_protein (kg),AnimalModuleReporter.report_average_genetics.heiferII_average_genetics.phenotype_fat (kg),AnimalModuleReporter.report_average_genetics.heiferII_average_genetics.phenotype_protein (kg),AnimalModuleReporter.report_average_genetics.heiferII_average_genetics.EBV_fat (kg),AnimalModuleReporter.report_average_genetics.heiferII_average_genetics.EBV_protein (kg),AnimalModuleReporter.report_average_genetics.heiferII_average_genetics.ranking_index (unitless),AnimalModuleReporter.report_average_genetics.heiferIII_average_genetics.TBV_fat (kg),AnimalModuleReporter.report_average_genetics.heiferIII_average_genetics.TBV_protein (kg),AnimalModuleReporter.report_average_genetics.heiferIII_average_genetics.E_permanent_fat (kg),AnimalModuleReporter.report_average_genetics.heiferIII_average_genetics.E_permanent_protein (kg),AnimalModuleReporter.report_average_genetics.heiferIII_average_genetics.E_temporary_fat (kg),AnimalModuleReporter.report_average_genetics.heiferIII_average_genetics.E_temporary_protein (kg),AnimalModuleReporter.report_average_genetics.heiferIII_average_genetics.phenotype_fat (kg),AnimalModuleReporter.report_average_genetics.heiferIII_average_genetics.phenotype_protein (kg),AnimalModuleReporter.report_average_genetics.heiferIII_average_genetics.EBV_fat (kg),AnimalModuleReporter.report_average_genetics.heiferIII_average_genetics.EBV_protein (kg),AnimalModuleReporter.report_average_genetics.heiferIII_average_genetics.ranking_index (unitless),AnimalModuleReporter.report_average_genetics.cow_average_genetics.TBV_fat (kg),AnimalModuleReporter.report_average_genetics.cow_average_genetics.TBV_protein (kg),AnimalModuleReporter.report_average_genetics.cow_average_genetics.E_permanent_fat (kg),AnimalModuleReporter.report_average_genetics.cow_average_genetics.E_permanent_protein (kg),AnimalModuleReporter.report_average_genetics.cow_average_genetics.E_temporary_fat (kg),AnimalModuleReporter.report_average_genetics.cow_average_genetics.E_temporary_protein (kg),AnimalModuleReporter.report_average_genetics.cow_average_genetics.phenotype_fat (kg),AnimalModuleReporter.report_average_genetics.cow_average_genetics.phenotype_protein (kg),AnimalModuleReporter.report_average_genetics.cow_average_genetics.EBV_fat (kg),AnimalModuleReporter.report_average_genetics.cow_average_genetics.EBV_protein (kg),AnimalModuleReporter.report_average_genetics.cow_average_genetics.ranking_index (unitless)
"Under construction, use the results with caution.",-0.2570139078911745,-0.7262276529823876,0.7552408292008816,1.0354687623945766,0.5003978681010648,0.058952685343282164,414.2694493027795,347.0822755915471,-0.5732164611837294,-0.5947514674886955,-0.25960052542995626,-0.3523158554679612,6.273114825413581,12.831982233764304,8.144673129408394,-1.0787777105598644,-0.4988132773409937,435.761404223292,369.4847035663699,-0.8648312446131255,4.021181569388238,0.24773726823349732,-0.33386120125519436,-0.5506046418101486,6.860825423253874,2.7903559778286424,-0.3032830370926894,-0.5373962113260671,429.5621496500223,356.51678563632044,0.4368220796441269,-0.39132244409871375,0.08803750359399957,-2.9998007640252133,-3.6991715428590997,-9.884815956817025,-3.6415092473913533,-0.30144867047363844,-0.5124474589341913,405.93294260868396,342.31989575081536,-2.95475507627764,-2.1692115165603414,-1.2216096114091342,0.29136592502362146,-1.8035972688307997,-12.370046429684407,-7.703707812580933,10.572186767811468,1.713626475672119,417.6125142631507,342.3793453942603,-2.217952436938954,0.4875568320648004,-0.6419264867781634,0.9340733379055013,-0.16814207058168573,1.9569753430885217,1.9877219018422645,0.826594897080639,0.5498772226632578,408.30675399565723,342.7080083506272,0.08938311752731791,-0.5320970160780908,-0.04074878071646481
,-0.25701390789117445,-0.7262276529823876,0.7552408292008821,1.0354687623945773,1.205190812665262,0.4483450700599331,414.9742422473437,347.47166797626375,-0.5226391354944593,-0.5882618625536714,-0.24267328721921522,-0.3523158554679612,6.273114825413581,12.831982233764304,8.144673129408394,-1.0787777105598644,-0.4988132773409937,435.761404223292,369.4847035663699,-0.8648312446131255,4.021181569388238,0.24773726823349732,-0.33386120125519436,-0.5506046418101486,6.860825423253874,2.7903559778286424,-0.3032830370926894,-0.5373962113260671,429.5621496500223,356.51678563632044,0.4368220796441269,-0.39132244409871375,0.08803750359399957,-2.9998007640252133,-3.6991715428590997,-9.884815956817025,-3.6415092473913533,-0.30144867047363844,-0.5124474589341913,405.93294260868396,342.31989575081536,-2.95475507627764,-2.1692115165603414,-1.2216096114091342,-4.63924097161422,0.19663931003863366,-2.874820567394641,-1.5675498775946766,36.6377237305725,14.685555746226825,448.24267019156366,363.4876691786707,-3.7616296509214866,1.914401713655691,-0.9473260062177931,1.1414616006627782,-0.272885565296108,1.3884109385023045,1.6155907990773923,1.2318092954848954,0.7900120934546032,408.50872592160664,342.57816506636635,0.23422369584641978,-0.5698597286364735,0.00040137055641983286
,-0.1731713447345753,-0.6723151382561117,1.0050448077044978,1.2381294464823538,1.5755696515555189,0.5954212126679995,415.8305640728585,347.96539393756115,-0.5288056808115086,-0.5527983105450873,-0.24002398686892115,0.4701287338914484,7.898349670445993,11.352836819007099,7.132015951687233,4.0699382785782925,1.3626301227318294,440.3416178314769,372.00912374486506,-0.37706800464046997,5.075125236895712,0.539858655320773,-0.4838160050981045,-0.6910173530155022,7.265469062539513,3.096164490859302,-1.2570380958784262,-0.874963581021465,428.8702756888358,356.3525255568224,0.31855482409779745,-0.48266438333900546,0.03855406422902891,-2.9998007640252133,-3.6991715428590997,-9.884815956817025,-3.6415092473913533,-0.30144867047363844,-0.5124474589341913,405.93294260868396,342.31989575081536,-2.95475507627764,-2.1692115165603414,-1.2216096114091342,-0.4160290333161865,0.8340690891875143,4.471031749902262,4.201999516271911,24.85439845028284,9.913618635106191,448.0284091668689,365.12271124056565,-2.0937434424479724,1.2805888363891738,-0.4993338659678625,1.1414616006627782,-0.272885565296108,1.3884109385023045,1.6155907990773923,1.2318092954848954,0.7900120934546032,408.50872592160664,342.57816506636635,0.23422369584641978,-0.5698597286364735,0.00040137055641983286
,-0.23242421334156457,-0.8511489974494076,1.4686115428035764,1.4432876636130698,0.6382447810190178,0.1139351987977306,415.6359631717054,347.7548672527167,-0.4680856548851771,-0.5846800944977232,-0.2248596505381903,-0.7121014795647239,2.1205083673881107,15.475162821857857,8.5183046630873,0.6557744271896322,-0.5980464116881695,441.7197171028161,366.71527595212063,-0.3860749404413631,2.6202813079915774,0.21786473897855152,-0.4838160050981045,-0.6910173530155022,7.265469062539513,3.096164490859302,-1.2570380958784262,-0.874963581021465,428.8702756888358,356.3525255568224,0.31855482409779745,-0.48266438333900546,0.03855406422902891,-2.9998007640252133,-3.6991715428590997,-9.884815956817025,-3.6415092473913533,-0.30144867047363844,-0.5124474589341913,405.93294260868396,342.31989575081536,-2.95475507627764,-2.1692115165603414,-1.2216096114091342,-9.281348796542405,1.6833825244879475,5.675044100286897,4.318492656484888,43.017189074628384,16.497476595498423,458.52989237837295,372.6723757764712,-5.713756626480119,2.80727035428694,-1.4520294611633762,1.3174923709260933,-0.23111222222467498,1.5402853039844047,1.7703762366542104,0.5636866438437707,0.3928497406275092,409.04842456365225,342.97312738771024,0.318861393079253,-0.49618370681167384,0.036894041113684786
,-0.23242421334156457,-0.8511489974494076,1.4686115428035764,1.4432876636130698,0.6382447810190178,0.1139351987977306,415.6359631717054,347.7548672527167,-0.4680856548851771,-0.5846800944977232,-0.2248596505381903,-0.7121014795647239,2.1205083673881107,15.475162821857857,8.5183046630873,0.6557744271896322,-0.5980464116881695,441.7197171028161,366.71527595212063,-0.3860749404413631,2.6202813079915774,0.21786473897855152,-0.4838160050981045,-0.6910173530155022,7.265469062539513,3.096164490859302,-1.2570380958784262,-0.874963581021465,428.8702756888358,356.3525255568224,0.31855482409779745,-0.48266438333900546,0.03855406422902891,-2.9998007640252133,-3.6991715428590997,-9.884815956817025,-3.6415092473913533,-0.30144867047363844,-0.5124474589341913,405.93294260868396,342.31989575081536,-2.95475507627764,-2.1692115165603414,-1.2216096114091342,-9.281348796542405,1.6833825244879475,5.675044100286897,4.318492656484888,43.017189074628384,16.497476595498423,458.52989237837295,372.6723757764712,-5.713756626480119,2.80727035428694,-1.4520294611633762,1.3174923709260933,-0.23111222222467498,1.5402853039844047,1.7703762366542104,0.5636866438437707,0.3928497406275092,409.04842456365225,342.97312738771024,0.318861393079253,-0.49618370681167384,0.036894041113684786
,-0.11541472582765444,-0.817718127497034,0.9970095511067989,1.1872693406938382,1.2257892312017387,0.4177913210858556,415.95137037120156,347.8957424124555,-0.3580643229201589,-0.5495245236625567,-0.1853026427647429,2.151737470883383,3.1520698295533145,10.258659828132501,5.395645992006217,-1.2537443385518783,-1.1701292572092186,437.986724960464,364.35449056435033,1.6778840238459392,3.47375423889986,0.9851551706399904,-0.8685109322075474,-0.9740105169458478,6.00372571241277,2.789797911890015,-1.016431133710604,-0.6017129115470753,427.5675334646765,356.1498144833972,0.1012088096929312,-0.739423940539443,-0.06394071078777548,-2.7903318895661586,-3.4614999030346,-8.970751495176128,-3.5014787268029153,-0.4346553815352715,-0.8710657221246297,406.9232692337223,342.3389796480379,-2.7903024467345494,-1.9572422418894746,-1.1417576695072187,-9.281348796542405,1.6833825244879475,5.675044100286897,4.318492656484888,43.017189074628384,16.497476595498423,458.52989237837295,372.6723757764712,-5.713756626480119,2.80727035428694,-1.4520294611633762,1.3174923709260935,-0.23111222222467503,1.5402853039844047,1.7703762366542113,1.934520699287321,1.1037960055814835,410.4192586190959,343.684073652664,0.34313163490725246,-0.48509030644763645,0.04605412006231363
,-0.11541472582765444,-0.817718127497034,0.9970095511067989,1.1872693406938382,1.2257892312017387,0.4177913210858556,415.95137037120156,347.8957424124555,-0.3580643229201589,-0.5495245236625567,-0.1853026427647429,2.151737470883383,3.1520698295533145,10.258659828132501,5.395645992006217,-1.2537443385518783,-1.1701292572092186,437.986724960464,364.35449056435033,1.6778840238459392,3.47375423889986,0.9851551706399904,-0.8685109322075474,-0.9740105169458478,6.00372571241277,2.789797911890015,-1.016431133710604,-0.6017129115470753,427.5675334646765,356.1498144833972,0.1012088096929312,-0.739423940539443,-0.06394071078777548,-2.7903318895661586,-3.4614999030346,-8.970751495176128,-3.5014787268029153,-0.4346553815352715,-0.8710657221246297,406.9232692337223,342.3389796480379,-2.7903024467345494,-1.9572422418894746,-1.1417576695072187,-9.281348796542405,1.6833825244879475,5.675044100286897,4.318492656484888,43.017189074628384,16.497476595498423,458.52989237837295,372.6723757764712,-5.713756626480119,2.80727035428694,-1.4520294611633762,1.3174923709260935,-0.23111222222467503,1.5402853039844047,1.7703762366542113,1.934520699287321,1.1037960055814835,410.4192586190959,343.684073652664,0.34313163490725246,-0.48509030644763645,0.04605412006231363
,-0.11541472582765415,-0.8177181274970343,0.9970095511067982,1.187269340693838,1.2257892312017389,0.4177913210858553,415.95137037120156,347.8957424124555,-0.3580643229201589,-0.5495245236625567,-0.1853026427647429,2.151737470883383,3.1520698295533145,10.258659828132501,5.395645992006217,-1.2537443385518783,-1.1701292572092186,437.986724960464,364.35449056435033,1.6778840238459392,3.47375423889986,0.9851551706399904,-1.0925592762817464,-0.8291088287018383,6.22824062663147,2.859650385418601,-2.1385538406330755,-1.216776058968414,426.54656899808873,355.8602663349577,-0.06829578416218413,-0.6967302838034017,-0.11229299625801688,-2.5084806760893494,-3.55279949348347,-8.840987205025277,-3.421292866389165,0.728015365915727,-0.21942991359548072,408.4975554848009,342.9795017265319,-2.5420046713151003,-1.9723156306284926,-1.0647585174599061,-9.281348796542405,1.6833825244879475,5.675044100286897,4.318492656484888,43.017189074628384,16.497476595498423,458.52989237837295,372.6723757764712,-5.713756626480119,2.80727035428694,-1.4520294611633762,1.3174923709260935,-0.23111222222467503,1.5402853039844047,1.7703762366542113,1.934520699287321,1.1037960055814835,410.4192586190959,343.684073652664,0.34313163490725246,-0.48509030644763645,0.04605412006231363
,-0.11541472582765415,-0.8177181274970343,0.9970095511067982,1.187269340693838,1.2257892312017389,0.4177913210858553,415.95137037120156,347.8957424124555,-0.3580643229201589,-0.5495245236625567,-0.1853026427647429,2.151737470883383,3.1520698295533145,10.258659828132501,5.395645992006217,-1.2537443385518783,-1.1701292572092186,437.986724960464,364.35449056435033,1.6778840238459392,3.47375423889986,0.9851551706399904,-1.0925592762817464,-0.8291088287018383,6.22824062663147,2.859650385418601,-2.1385538406330755,-1.216776058968414,426.54656899808873,355.8602663349577,-0.06829578416218413,-0.6967302838034017,-0.11229299625801688,-2.5084806760893494,-3.55279949348347,-8.840987205025277,-3.421292866389165,0.728015365915727,-0.21942991359548072,408.4975554848009,342.9795017265319,-2.5420046713151003,-1.9723156306284926,-1.0647585174599061,-9.281348796542405,1.6833825244879475,5.675044100286897,4.318492656484888,43.017189074628384,16.497476595498423,458.52989237837295,372.6723757764712,-5.713756626480119,2.80727035428694,-1.4520294611633762,1.3174923709260935,-0.23111222222467503,1.5402853039844047,1.7703762366542113,1.934520699287321,1.1037960055814835,410.4192586190959,343.684073652664,0.34313163490725246,-0.48509030644763645,0.04605412006231363
,-0.11541472582765432,-0.8177181274970343,0.9970095511067985,1.1872693406938373,1.0630936166289273,0.3363165629440216,415.7886747566288,347.8142676543136,-0.36113777765613997,-0.563001131876161,-0.18803196043855355,2.151737470883383,3.1520698295533145,10.258659828132501,5.395645992006217,-1.2537443385518783,-1.1701292572092186,437.986724960464,364.35449056435033,1.6778840238459392,3.47375423889986,0.9851551706399904,-1.0925592762817464,-0.8291088287018383,6.22824062663147,2.859650385418601,-2.1385538406330755,-1.216776058968414,426.54656899808873,355.8602663349577,-0.06829578416218413,-0.6967302838034017,-0.11229299625801688,-2.5084806760893494,-3.55279949348347,-8.840987205025277,-3.421292866389165,0.728015365915727,-0.21942991359548072,408.4975554848009,342.9795017265319,-2.5420046713151003,-1.9723156306284926,-1.0647585174599061,5.289927616512727,3.124620220121379,-14.121450776742794,-6.883310473081473,62.92710492611225,25.85014727142545,473.21458976588224,372.2644810184653,2.8427124401539166,3.417455035041284,1.3482517105243124,0.9160641487687323,-0.24088980449289968,1.9819797337860396,2.0224138394720232,1.623528786171457,0.9082183478453385,410.2848162242819,343.82299854444057,0.10297711998155847,-0.49097819047646657,-0.031080440607804988
