properties_group,name,type,description,pattern,default,maximum,minimum
animal_properties,animal_config_farm_level_std_gestation_len,number,Gestation Length Standard Deviation (days) -- Standard deviation of gestation length,,6,,0
animal_properties,animal_config_farm_level_prefresh_day,number,"Prefresh Day -- days prior to calving at which pregnant animals enter the close-up period (i.e., the length of the close-up period)",,30,,0
animal_properties,animal_config_farm_level_calving_interval,number,"Calving Interval (days) -- Current average calving interval, used for initial bodyweight adjustment and other calculations",,400,,1
animal_properties,animal_config_farm_level_heifers_estrus_detection_rate,number,Estrus Detection Rate (fraction) -- The fraction of total heifers in estrus that are detected and inseminated in the ED (Estrus Detection) protocol,,0.9,1,0
animal_properties,animal_config_farm_level_heifers_estrus_conception_rate,number,Estrus Conception Rate (fraction) -- The fraction of inseminated heifers that become pregnant for heifers bred on estrus detection (ED (Estrus Detection) and SynchED protocols),,0.6,1,0
animal_properties,animal_config_farm_level_heifers_repro_sub_protocol,string,No description available,^(5dCG2P|5dCGP|2P|CP|N/A)$,5dCG2P,,
animal_properties,animal_config_farm_level_heifers_conception_rate,number,Conception Rate -- The conception rate for TAI breedings in the heifer reproductive program,,0.6,1,0
animal_properties,animal_config_farm_level_heifers_estrus_detection_rate,number,Estrus Detection Rate -- The fraction of in-heat heifers that would be detected and inseminated in the SynchED programs,,0.9,1,0
animal_properties,animal_config_farm_level_cows_estrus_detection_rate,number,"The fraction of in-heat cows that would be detected in the ED (Estrus Detection) protocol, including during the estrus detection portion of ED-TAI protocols. When TAI protocol is used, this value will be ignored, and it is recommended to set it to 0.",,0.6,1,0
animal_properties,animal_config_farm_level_cows_ED_conception_rate,number,"The fraction of cows with estrus detected that would conceive in the ED (Estrus Detection) protocol, including during the estrus detection portion of ED-TAI protocols. When TAI protocol is used, this value will be ignored, and it is recommended to set it to 0.",,0.6,1,0
animal_properties,animal_config_farm_level_cows_presynch_program,string,"The presynch program (1st breeding) for cow in the TAI protocol. Currently, this is only supported in TAI protocol. When other protocols such as ED or ED-TAI are used, this value will be ignored, and it is recommended to set it to None.",^(Double OvSynch|PreSynch|G6G|None)$,Double OvSynch,,
animal_properties,animal_config_farm_level_cows_presynch_program_start_day,number,"The presynch program start day is the day of the first hormone injection in a presynch program used in the TAI protocol. When a presynch program is followed by an OvSynch program, the start day of the OvSynch program should be on or after the last day of the presynch program. The durations of the 3 options - PreSynch, Double OvSynch, and G6G, are 25, 16, and 8 days, respectively. Because the presynch program is only supported in TAI protocol, this value will be ignored when other protocols such as ED or ED-TAI are used, and it is recommended to set it to 0.",,50,,0
animal_properties,animal_config_farm_level_cows_ovsynch_program,string,"The OvSynch program to be used for cows in the TAI protocol and the TAI portion of the ED-TAI protocol. When the ED protocol is used, this value will be ignored, and it is recommended to set it to None",^(OvSynch 48|OvSynch 56|CoSynch 72|5d CoSynch|None)$,OvSynch 56,,
animal_properties,animal_config_farm_level_cows_ovsynch_program_start_day,number,"When set properly in the TAI protocol, OvSynch program start day is the day of the first GnRH injection in an OvSynch program. When the OvSynch program follows a presynch program, the start day of the OvSynch program should be on or after the last day of the presynch program. Otherwise, the OvSynch program will be shifted to start on the last day of the presynch program. When ED-TAI protocol is used and no estrus detected between the end of the voluntary waiting period and this OvSynch program start day, then the OvSynch program will start on this day. When the ED protocol is used, this value will be ignored, and it is recommended to set it to 0.",,70,,0
animal_properties,animal_config_farm_level_cows_ovsynch_program_conception_rate,number,"The conception rate for the OvSynch program used in the TAI protocol and the TAI portion of the ED-TAI protocol. When the ED protocol is used, this value will be ignored, and it is recommended to set it to 0.",,0.6,1,0
animal_properties,animal_config_farm_level_cows_resynch_program,string,"Resynch program for cow before/at/after first pregnancy check day in the TAI and ED-TAI repro protocols. When the ED protocol is used, this value will be ignored, and it is recommended to set it to None. If PGFatPD is chosen, the values for estrus detection rate and conception rate to that detected estrus following PGF are determined by estrus_detection_rate and ED_conception_rate. Anytime an insemination is performed after an ovsynch program, the conception rate will be changed to the ovsynch_program_conception_rate.",^(TAIafterPD|TAIbeforePD|PGFatPD|None)$,TAIafterPD,,
animal_properties,animal_config_farm_level_birth_weight_avg_ho,number,Average Holstein Birth Weight (kg/head),,42.9,,1
animal_properties,animal_config_farm_level_birth_weight_std_ho,number,Holstein Birth Weight Standard Deviation (kg/head),,6,,0
animal_properties,animal_config_farm_level_birth_weight_avg_je,number,Average Jersey Birth Weight (kg/head),,25.2,,1
animal_properties,animal_config_farm_level_birth_weight_std_je,number,Jersey Birth Weight Standard Deviation (kg/head),,4.4,,0
animal_properties,animal_config_farm_level_target_heifer_preg_day,number,Target Heifer Pregnancy Day (days) -- The target age (in days) for heifers to become pregnant - for adjusting heifer body weight,,420,,0
animal_properties,animal_config_farm_level_mature_body_weight_avg,number,Average Mature Body Weight (kg/head) -- The average mature body weight of cows,,740.1,,0
animal_properties,animal_config_farm_level_mature_body_weight_std,number,Mature Body Weight Standard Deviation (kg/head) -- The standard deviation of mature body weight of cows,,73.5,,0
animal_properties,animal_config_from_literature_preg_check_day_1,number,"Pregnancy Check Days, Check 1 (days) -- Days since last insemination at the 1st pregnancy check",,32,,1
animal_properties,animal_config_from_literature_preg_loss_rate_1,number,Pregnancy Loss Rate 1 (percent) -- The percentage of cows that abort their pregnancy before the 1st pregnancy check,,0.02,1,0
animal_properties,animal_config_from_literature_preg_check_day_2,number,"Pregnancy Check Days, Check 2 (days) --  Days since last insemination at the second pregnancy check, for cows confirmed pregnant at 1st pregnancy check",,60,,0
animal_properties,animal_config_from_literature_preg_loss_rate_2,number,"Pregnancy Loss Rate, Check 2 (percent) -- The percentage of cows that abort their pregnancy between the 1st and 2nd pregnancy checks",,0.096,0.1,0
animal_properties,animal_config_from_literature_preg_check_day_3,number,"Pregnancy Check Day, Check 3 (days) -- Days since last insemination at the third pregnancy check, for cows confirmed pregnant at 2nd pregnancy check",,200,,0
