DISCLAIMER,variable_name,usage_count
,"FieldDataReporter.send_soil_layer_daily_variables.nitrous_oxide_emissions.field='field_1',layer='1'",1
,"FieldDataReporter.send_soil_layer_daily_variables.nitrous_oxide_emissions.field='field_1',layer='2'",1
,"FieldDataReporter.send_soil_layer_daily_variables.nitrous_oxide_emissions.field='field_1',layer='3'",1
,"FieldDataReporter.send_soil_layer_daily_variables.nitrous_oxide_emissions.field='field_2',layer='0'",1
,"FieldDataReporter.send_soil_layer_daily_variables.nitrous_oxide_emissions.field='field_2',layer='1'",1
,"FieldDataReporter.send_soil_layer_daily_variables.nitrous_oxide_emissions.field='field_2',layer='2'",1
,"FieldDataReporter.send_soil_layer_daily_variables.nitrous_oxide_emissions.field='field_2',layer='3'",1
,"FieldDataReporter.send_soil_layer_daily_variables.nitrous_oxide_emissions.field='field_2',layer='4'",1
,"FieldDataReporter.send_soil_layer_daily_variables.ammonia_emissions.field='field_1',layer='0'",1
,"FieldDataReporter.send_soil_layer_daily_variables.ammonia_emissions.field='field_1',layer='1'",1
,"FieldDataReporter.send_soil_layer_daily_variables.ammonia_emissions.field='field_1',layer='2'",1
,"FieldDataReporter.send_soil_layer_daily_variables.ammonia_emissions.field='field_1',layer='3'",1
,"FieldDataReporter.send_soil_layer_daily_variables.ammonia_emissions.field='field_2',layer='0'",1
,"FieldDataReporter.send_soil_layer_daily_variables.ammonia_emissions.field='field_2',layer='1'",1
,"FieldDataReporter.send_soil_layer_daily_variables.ammonia_emissions.field='field_2',layer='2'",1
,"FieldDataReporter.send_soil_layer_daily_variables.ammonia_emissions.field='field_2',layer='3'",1
,"FieldDataReporter.send_soil_layer_daily_variables.ammonia_emissions.field='field_2',layer='4'",1
,FeedManager._log_feed_deductions.farmgrown_feed_44_fed,1
,FeedManager._log_feed_deductions.farmgrown_feed_110_fed,1
,FeedManager.report_stored_farmgrown_feeds.stored_feed_51_dm.daily_storage_levels,1
,FeedManager.report_stored_farmgrown_feeds.stored_feed_44_dm.daily_storage_levels,1
,FeedManager.report_stored_farmgrown_feeds.stored_feed_110_dm.daily_storage_levels,1
,FeedManager.report_stored_farmgrown_feeds.stored_feed_108_dm.daily_storage_levels,1
,AnimalModuleReporter.report_herd_statistics_data.sold_heiferIII_oversupply_num,1
,AnimalModuleReporter.report_herd_statistics_data.bought_heifer_num,1
,AnimalModuleReporter.report_herd_statistics_data.sold_heiferII_num,1
,AnimalModuleReporter.report_herd_statistics_data.cow_herd_exit_num,1
,AnimalModuleReporter.report_herd_statistics_data.sold_cow_num,1
,AnimalModuleReporter.report_herd_statistics_data.GnRH_injection_num_h,1
,AnimalModuleReporter.report_herd_statistics_data.GnRH_injection_num,1
,AnimalModuleReporter.report_herd_statistics_data.PGF_injection_num,1
,AnimalModuleReporter.report_herd_statistics_data.PGF_injection_num_h,1
,AnimalModuleReporter.report_herd_statistics_data.ai_num,1
,AnimalModuleReporter.report_herd_statistics_data.ai_num_h,1
,AnimalModuleReporter.report_herd_statistics_data.preg_check_num,1
,AnimalModuleReporter.report_herd_statistics_data.preg_check_num_h,1
,AnimalModuleReporter.report_herd_statistics_data.num_heiferII_in_ed_period,1
,AnimalModuleReporter.report_herd_statistics_data.num_cow_in_ed_period,1
,AnimalModuleReporter.report_herd_statistics_data.sold_calf_num,1
,AnimalModuleReporter.report_herd_statistics_data.born_calf_num,1
,AnimalModuleReporter.report_herd_statistics_data.stillborn_calf_num,1
,AnimalModuleReporter.report_herd_statistics_data.daily_milk_production,1
,AnimalModuleReporter.report_herd_statistics_data.herd_milk_fat_percent,1
,AnimalModuleReporter.report_herd_statistics_data.herd_milk_fat_kg,1
,AnimalModuleReporter.report_herd_statistics_data.herd_milk_protein_kg,1
,AnimalModuleReporter.report_herd_statistics_data.herd_milk_protein_percent,1
,AnimalModuleReporter.report_herd_statistics_data.open_cow_num,1
,AnimalModuleReporter.report_herd_statistics_data.vwp_cow_num,1
